scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	isolate	breed	isolation_source	collection_date	geo_loc_name	depth	dev_stage	env_broad_scale	lat_lon	rna_seq_library	biosamplemodel	sample_name	collected_by	env_biome	host_tissue_sampled
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976424	SRX11075198	SRR14740487	SRA1241116	SRS9141242	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_24	Single brain, RNA extraction and sequencing by Novogene			24	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	26078116	7823434800	3106366714								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740487/SRR14740487.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740487/SRR14740487	gs://sra-pub-zq-101/SRR14740487/SRR14740487.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_24	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976423	SRX11075197	SRR14740488	SRA1241116	SRS9141241	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_23	Single brain, RNA extraction and sequencing by Novogene			23	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	27085159	8125547700	3146604144								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740488/SRR14740488.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740488/SRR14740488	gs://sra-pub-zq-101/SRR14740488/SRR14740488.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_23	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976422	SRX11075196	SRR14740489	SRA1241116	SRS9141240	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_22	Single brain, RNA extraction and sequencing by Novogene			22	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	30990409	9297122700	3610676159								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740489/SRR14740489.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740489/SRR14740489	gs://sra-pub-zq-101/SRR14740489/SRR14740489.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_22	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976494	SRX11075195	SRR14740490	SRA1241116	SRS9141239	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_98	Single brain, RNA extraction and sequencing by Novogene			98	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	28321539	8496461700	3275788948								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740490/SRR14740490.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740490/SRR14740490	gs://sra-pub-zq-101/SRR14740490/SRR14740490.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_98	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976493	SRX11075194	SRR14740491	SRA1241116	SRS9141238	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_97	Single brain, RNA extraction and sequencing by Novogene			97	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	25923310	7776993000	2821284494								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740491/SRR14740491.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740491/SRR14740491	gs://sra-pub-zq-101/SRR14740491/SRR14740491.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_97	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976491	SRX11075193	SRR14740492	SRA1241116	SRS9141237	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_95	Single brain, RNA extraction and sequencing by Novogene			95	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	26354787	7906436100	3160156744								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740492/SRR14740492.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740492/SRR14740492	gs://sra-pub-zq-101/SRR14740492/SRR14740492.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_95	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976490	SRX11075192	SRR14740493	SRA1241116	SRS9141236	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_94	Single brain, RNA extraction and sequencing by Novogene			94	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	25316776	7595032800	3001869613								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740493/SRR14740493.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740493/SRR14740493	gs://sra-pub-zq-101/SRR14740493/SRR14740493.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_94	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976488	SRX11075191	SRR14740494	SRA1241116	SRS9141235	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_92	Single brain, RNA extraction and sequencing by Novogene			92	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	28546684	8564005200	3400742787								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740494/SRR14740494.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740494/SRR14740494	gs://sra-pub-zq-101/SRR14740494/SRR14740494.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_92	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976421	SRX11075190	SRR14740495	SRA1241116	SRS9141234	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_21	Single brain, RNA extraction and sequencing by Novogene			21	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	27007581	8102274300	3174275478								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740495/SRR14740495.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740495/SRR14740495	gs://sra-pub-zq-101/SRR14740495/SRR14740495.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_21	Invertebrate				
Pogonomyrmex barbatus	brain	Brain								no		PRJNA547792	SAMN11976487	SRX11075189	SRR14740496	SRA1241116	SRS9141233	SRP322867	Pogonomyrmex barbatus Raw sequence reads	R_91	Single brain, RNA extraction and sequencing by Novogene			91	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	23509882	7052964600	2706510439								Biology	Stanford University	SUB9732713		144034	2021-06-23 00:06:28	DAF						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14740/SRR14740496/SRR14740496.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14740496/SRR14740496	gs://sra-pub-zq-101/SRR14740496/SRR14740496.lite.1	J1/J2	Population of J1/J2	Desert plains, after monsoon season	2017	USA: Arizona	Forager	Forager	Desert	31.5 N 109.54 W	R_91	Invertebrate				
