target_id	tau	highest	order
lcl|NW_027509230.1_miscrna_XR_013255767.1_187	0.640793427166139	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013255839.1_1532	0.901435389345927	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013255860.1_996	0.371218666580634	brain	brain|whole body|whole body sample
lcl|NW_027509230.1_miscrna_XR_013255993.1_816	0.698240801790912	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013256146.1_762	0.285133840505083	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_miscrna_XR_013256210.1_763	0.508574959561937	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013256336.1_1555	0.986840167466135	whole body sample	whole body sample|whole body
lcl|NW_027509230.1_miscrna_XR_013256337.1_1556	1	whole body sample	whole body sample
lcl|NW_027509230.1_miscrna_XR_013256338.1_1557	1	whole body	whole body
lcl|NW_027509230.1_miscrna_XR_013256352.1_498	0.881099903099277	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_miscrna_XR_013256461.1_1194	0.742676780787493	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013256560.1_610	0.365951776601755	whole body	whole body|brain|whole body sample
lcl|NW_027509230.1_miscrna_XR_013256605.1_1470	0.616243865826798	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_miscrna_XR_013256646.1_483	0.72518882239592	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_miscrna_XR_013256776.1_61	0.620997761705328	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_miscrna_XR_013256777.1_59	0.846336621361087	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_miscrna_XR_013256778.1_60	0.556564196569192	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_miscrna_XR_013256782.1_62	0.680457278762542	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_miscrna_XR_013256783.1_63	0.73019769724134	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013256829.1_93	0.217290473947179	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_miscrna_XR_013256881.1_1056	0.887436153350553	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013256969.1_798	0.642940137035773	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_miscrna_XR_013257088.1_383	0.817158866282638	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_miscrna_XR_013257154.1_359	0.908047044238497	brain	brain|whole body
lcl|NW_027509230.1_miscrna_XR_013257155.1_357	0.538719019355473	brain	brain|whole body|whole body sample
lcl|NW_027509230.1_miscrna_XR_013257156.1_356	0.484463073680852	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_miscrna_XR_013257168.1_410	0.975178887003089	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_miscrna_XR_013257169.1_411	0.978383263537062	whole body sample	whole body sample|brain
lcl|NW_027509230.1_miscrna_XR_013257170.1_412	0.941109001547636	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_miscrna_XR_013257187.1_287	0.579344205698836	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_miscrna_XR_013258803.1_869	0.676549203949615	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_miscrna_XR_013260293.1_1085	0.636227000408531	brain	brain|whole body
lcl|NW_027509230.1_mrna_XM_077398174.1_978	0.351391589902103	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_mrna_XM_077398175.1_1371	0.596253926012287	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_mrna_XM_077398185.1_1084	0.907653753999743	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398200.1_987	0.527975860387899	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398213.1_201	0.212539345282831	whole body	whole body|brain|whole body sample
lcl|NW_027509230.1_mrna_XM_077398222.1_200	0.626248512498397	whole body	whole body|brain|whole body sample
lcl|NW_027509230.1_mrna_XM_077398232.1_199	0.932638729247779	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_mrna_XM_077398245.1_237	0.426688514087446	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398254.1_239	0.526429041401588	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398262.1_241	0.602660559643203	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398266.1_1370	0.665112152670889	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398270.1_238	0.107018037465089	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_mrna_XM_077398279.1_240	0.390784856615885	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398294.1_218	0.753697348252184	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398303.1_220	0.947790155031452	whole body	whole body|brain
lcl|NW_027509230.1_mrna_XM_077398312.1_219	0.355959440382191	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398327.1_202	0.263972344344467	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_mrna_XM_077398332.1_198	0.670649947250866	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398343.1_204	0.497145790341893	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_mrna_XM_077398357.1_157	0.425661419876329	whole body	whole body|brain|whole body sample
lcl|NW_027509230.1_mrna_XM_077398366.1_158	0.522387607899917	whole body	whole body|brain|whole body sample
lcl|NW_027509230.1_mrna_XM_077398377.1_195	0.370422354262079	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398387.1_186	0.407202682835504	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_mrna_XM_077398396.1_196	0.22530555072873	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398401.1_1384	0.396282328408359	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398411.1_210	0.275722273401023	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398417.1_209	0.707581371773742	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398426.1_208	0.100436185740545	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398435.1_207	0.730798559959639	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398450.1_184	0.873121058511664	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398457.1_183	0.221403673113062	brain	brain|whole body|whole body sample
lcl|NW_027509230.1_mrna_XM_077398467.1_169	0.754866456566271	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398476.1_168	0.812243332790747	brain	brain|whole body|whole body sample
lcl|NW_027509230.1_mrna_XM_077398485.1_167	0.503403483226412	brain	brain|whole body|whole body sample
lcl|NW_027509230.1_mrna_XM_077398497.1_205	0.512133391761583	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398506.1_159	0.53721714316047	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398513.1_160	0.264931952408059	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398518.1_1383	0.322598562205711	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_mrna_XM_077398519.1_161	0.312293764410816	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_mrna_XM_077398527.1_162	0.533592015698934	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_mrna_XM_077398542.1_188	0.430527052451109	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_mrna_XM_077398556.1_190	0.972688233104078	whole body	whole body|brain
lcl|NW_027509230.1_mrna_XM_077398565.1_192	0.918626602433084	whole body	whole body|whole body sample|brain
lcl|NW_027509230.1_mrna_XM_077398573.1_193	0.986162641621802	whole body	whole body|brain
lcl|NW_027509230.1_mrna_XM_077398582.1_194	0.798886039966182	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398591.1_191	0.631001953332138	whole body sample	whole body sample|brain|whole body
lcl|NW_027509230.1_mrna_XM_077398598.1_189	0.430554692455141	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398606.1_214	0.591032531961573	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398614.1_216	0.389630507980967	whole body sample	whole body sample|whole body|brain
lcl|NW_027509230.1_mrna_XM_077398621.1_215	0.633739144539243	brain	brain|whole body sample|whole body
lcl|NW_027509230.1_mrna_XM_077398629.1_213	0.384621058930149	whole body sample	whole body sample|whole body|brain
